Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms)
132825408,08/01/2023 01:20,300216,"Gas Holders, Battersea Park",08/01/2023 01:26,1140,"Grosvenor Road, Pimlico",57033,CLASSIC,5m 54s,354014
132825409,08/01/2023 01:22,3427,"Fanshaw Street, Hoxton",08/01/2023 02:14,3427,"Fanshaw Street, Hoxton",59265,CLASSIC,52m 15s,3135029
132825410,08/01/2023 01:23,22174,"Granby Street, Shoreditch",08/01/2023 01:28,200151,"Hoxton Station, Hoxton",53007,CLASSIC,5m 18s,318341
132825411,08/01/2023 01:23,1224,"Vauxhall Street, Vauxhall",08/01/2023 01:35,300061,"Crimscott Street, Bermondsey",59318,CLASSIC,11m 46s,706192
132825412,08/01/2023 01:25,1134,"Warwick Road, Olympia",08/01/2023 01:54,1134,"Warwick Road, Olympia",21202,CLASSIC,28m 58s,1738678
132825414,08/01/2023 01:25,1134,"Warwick Road, Olympia",08/01/2023 01:54,1134,"Warwick Road, Olympia",40755,CLASSIC,28m 53s,1733223
132825415,08/01/2023 01:26,3444,"Penywern Road, Earl's Court",08/01/2023 01:34,3436,"Derry Street, Kensington",56149,CLASSIC,7m 32s,452600
132825416,08/01/2023 01:28,200247,"Globe Town Market, Bethnal Green",08/01/2023 01:34,200003,"Cheshire Street, Bethnal Green",59241,CLASSIC,5m 50s,350808
132825417,08/01/2023 01:29,22183,"Crinan Street, King's Cross",08/01/2023 01:53,300236,"Bevington Road West, North Kensington",53660,CLASSIC,24m 50s,1490200
132825418,08/01/2023 01:30,1220,"Imperial College, Knightsbridge",08/01/2023 01:52,300037,"Ravenscourt Park Station, Hammersmith",24052,CLASSIC,22m 6s,1326009
132825419,08/01/2023 01:32,1064,"Old Street Station, St. Luke's",08/01/2023 01:52,3452,"Panton Street, West End",14316,CLASSIC,19m 20s,1160072
132825420,08/01/2023 01:32,3504,"Moor Street, Soho",08/01/2023 01:52,960,"Hop Exchange, The Borough",22847,CLASSIC,19m 4s,1144369
132825421,08/01/2023 01:33,988,"Great Russell Street, Bloomsbury",08/01/2023 02:03,200193,"Snowsfields, London Bridge",56674,CLASSIC,30m 40s,1840055
132825422,08/01/2023 01:33,1064,"Old Street Station, St. Luke's",08/01/2023 01:52,3452,"Panton Street, West End",50452,CLASSIC,19m 22s,1162416
132825423,08/01/2023 01:33,300074,"Newton Street, Covent Garden",08/01/2023 02:22,300074,"Newton Street, Covent Garden",60349,PBSC_EBIKE,49m 5s,2945514
132825428,08/01/2023 01:34,300226,"Copper Box Arena, Queen Elizabeth Olympic Park",08/01/2023 01:49,300011,"Victoria Park Road, Hackney Central",51272,CLASSIC,15m 26s,926953
132825429,08/01/2023 01:34,1227,"Devonshire Terrace, Bayswater",08/01/2023 01:38,300079,"London Street, Paddington",59493,CLASSIC,3m 53s,233333
132825430,08/01/2023 01:34,1064,"Old Street Station, St. Luke's",08/01/2023 01:52,3452,"Panton Street, West End",30075,CLASSIC,18m 11s,1091429
132825431,08/01/2023 01:34,300226,"Copper Box Arena, Queen Elizabeth Olympic Park",08/01/2023 01:49,300011,"Victoria Park Road, Hackney Central",56025,CLASSIC,15m 25s,925242
132825432,08/01/2023 01:34,1227,"Devonshire Terrace, Bayswater",08/01/2023 01:38,300079,"London Street, Paddington",59736,CLASSIC,3m 41s,221588
132825424,08/01/2023 01:34,1083,"Commercial Street, Shoreditch",08/01/2023 01:46,3470,"Great Percy Street, Clerkenwell",56436,CLASSIC,12m 40s,760316
132825425,08/01/2023 01:34,1103,"Gloucester Street, Pimlico",08/01/2023 01:38,1140,"Grosvenor Road, Pimlico",31021,CLASSIC,4m 51s,291422
132825426,08/01/2023 01:34,300226,"Copper Box Arena, Queen Elizabeth Olympic Park",08/01/2023 01:48,300011,"Victoria Park Road, Hackney Central",22489,CLASSIC,14m 9s,849540
132825427,08/01/2023 01:34,1064,"Old Street Station, St. Luke's",08/01/2023 01:52,3452,"Panton Street, West End",55634,CLASSIC,18m 41s,1121616
132825433,08/01/2023 01:36,2691,"Howland Street, Fitzrovia",08/01/2023 01:37,2691,"Howland Street, Fitzrovia",52824,CLASSIC,5s,5780
132825434,08/01/2023 01:38,3504,"Moor Street, Soho",08/01/2023 02:43,300249,"Westminster Pier, Westminster",23863,CLASSIC,1h 5m 19s,3919117
132825435,08/01/2023 01:38,2685,"South Kensington Station, South Kensington",08/01/2023 02:18,200052,"Exhibition Road Museums 2, South Kensington",20097,CLASSIC,39m 48s,2388702
132825438,08/01/2023 01:39,2685,"South Kensington Station, South Kensington",08/01/2023 02:18,200052,"Exhibition Road Museums 2, South Kensington",54847,CLASSIC,39m 18s,2358069
132825439,08/01/2023 01:39,2685,"South Kensington Station, South Kensington",08/01/2023 02:18,200052,"Exhibition Road Museums 2, South Kensington",57926,CLASSIC,39m 19s,2359449
132825440,08/01/2023 01:39,2685,"South Kensington Station, South Kensington",08/01/2023 02:18,200052,"Exhibition Road Museums 2, South Kensington",58419,CLASSIC,39m 17s,2357802
132825436,08/01/2023 01:39,300074,"Newton Street, Covent Garden",08/01/2023 02:13,1018,"Phillimore Gardens, Kensington",55709,CLASSIC,34m 6s,2046250
132825437,08/01/2023 01:39,300074,"Newton Street, Covent Garden",08/01/2023 02:06,200108,"Bishop's Bridge Road East, Bayswater",55191,CLASSIC,27m 14s,1634859
132825441,08/01/2023 01:40,300074,"Newton Street, Covent Garden",08/01/2023 02:13,1018,"Phillimore Gardens, Kensington",54864,CLASSIC,32m 44s,1964258
132825442,08/01/2023 01:40,300074,"Newton Street, Covent Garden",08/01/2023 02:10,1120,"Chepstow Villas, Notting Hill",14716,CLASSIC,30m 11s,1811417
