Number,Start date,Start station number,Start station,End date,End station number,End station,Bike number,Bike model,Total duration,Total duration (ms)
132825278,08/01/2023 00:28,1112,"Nutford Place, Marylebone",08/01/2023 02:51,1058,"Edgware Road Station, Marylebone",41737,CLASSIC,2h 23m 7s,8587044
132825279,08/01/2023 00:28,1171,"New Road 1 , Whitechapel",08/01/2023 00:37,3467,"Dock Street, Wapping",51658,CLASSIC,8m 55s,535693
132825280,08/01/2023 00:28,3445,"Shoreditch High Street, Shoreditch",08/01/2023 00:38,3445,"Shoreditch High Street, Shoreditch",52212,CLASSIC,9m 56s,596768
132825281,08/01/2023 00:29,200172,"Lansdowne Road, Ladbroke Grove",08/01/2023 01:00,200023,"Heath Road, Battersea",40869,CLASSIC,31m 44s,1904715
132825282,08/01/2023 00:29,200193,"Snowsfields, London Bridge",08/01/2023 00:36,3481,"Rodney Road , Walworth",61145,PBSC_EBIKE,6m 14s,374949
132825283,08/01/2023 00:30,988,"Great Russell Street, Bloomsbury",08/01/2023 00:39,986,"Finsbury Library , Finsbury",57090,CLASSIC,9m 14s,554046
132825284,08/01/2023 00:30,1126,"North Audley Street, Mayfair",08/01/2023 00:59,300053,"Stephendale Road, Sands End",51861,CLASSIC,29m 42s,1782398
132825285,08/01/2023 00:30,3429,"Abbey Orchard Street, Westminster",08/01/2023 03:45,2587,"Wormwood Street, Liverpool Street",41364,CLASSIC,3h 14m 47s,11687329
132825286,08/01/2023 00:30,3429,"Abbey Orchard Street, Westminster",08/01/2023 03:44,2587,"Wormwood Street, Liverpool Street",20843,CLASSIC,3h 14m 5s,11645449
132825288,08/01/2023 00:31,3429,"Abbey Orchard Street, Westminster",08/01/2023 03:45,2587,"Wormwood Street, Liverpool Street",35546,CLASSIC,3h 14m 22s,11662845
132825289,08/01/2023 00:31,200083,"Pritchard's Road, Bethnal Green",08/01/2023 00:45,200234,"Bancroft Road, Bethnal Green",59508,CLASSIC,14m 35s,875682
132825290,08/01/2023 00:31,988,"Great Russell Street, Bloomsbury",08/01/2023 00:42,3468,"Margery Street, Clerkenwell",57422,CLASSIC,11m 32s,692551
132825291,08/01/2023 00:31,3445,"Shoreditch High Street, Shoreditch",08/01/2023 00:35,3483,"Fashion Street, Whitechapel",59419,CLASSIC,3m 32s,212447
132825292,08/01/2023 00:31,1100444,"Strand, Strand_OLD",08/01/2023 00:35,300096,"Tallis Street, Temple",57349,CLASSIC,3m 38s,218271
132825287,08/01/2023 00:31,973,"Bethnal Green Road, Shoreditch",08/01/2023 00:57,300227,"Timber Lodge, Queen Elizabeth Olympic Park",11906,CLASSIC,26m 46s,1606777
132825293,08/01/2023 00:32,1186,"Belvedere Road 1, South Bank",08/01/2023 00:44,1165,"Riverlight North, Nine Elms",41761,CLASSIC,11m 31s,691633
132825294,08/01/2023 00:32,200083,"Pritchard's Road, Bethnal Green",08/01/2023 00:43,1054,"East Road, Hoxton",50956,CLASSIC,10m 34s,634720
132825295,08/01/2023 00:32,300060,"Brandon Street, Walworth",08/01/2023 00:46,1135,"Claverton Street, Pimlico",60137,PBSC_EBIKE,13m 20s,800469
132825296,08/01/2023 00:33,200004,"Lightermans Road, Millwall",08/01/2023 01:02,200004,"Lightermans Road, Millwall",53436,CLASSIC,29m 47s,1787723
132825297,08/01/2023 00:33,10621,"Upper Grosvenor Street, Mayfair",08/01/2023 00:39,3464,"Green Street, Mayfair",55494,CLASSIC,5m 45s,345630
132825298,08/01/2023 00:33,2694,"Clapham Common Station, Clapham Common",08/01/2023 00:45,200077,"Vicarage Crescent, Battersea",52398,CLASSIC,11m 36s,696170
132825299,08/01/2023 00:33,300051,"Hibbert Street, Battersea",08/01/2023 02:46,1096,"Bayswater Road, Hyde Park",60502,PBSC_EBIKE,2h 12m 12s,7932713
132825302,08/01/2023 00:34,22180,"Cheapside, Bank",08/01/2023 01:13,3481,"Rodney Road , Walworth",23720,CLASSIC,39m 46s,2386050
132825303,08/01/2023 00:34,200083,"Pritchard's Road, Bethnal Green",08/01/2023 00:45,964,"Bath Street, St. Luke's",30376,CLASSIC,11m 21s,681190
132825304,08/01/2023 00:34,200004,"Lightermans Road, Millwall",08/01/2023 01:03,200004,"Lightermans Road, Millwall",56926,CLASSIC,29m 22s,1762303
132825305,08/01/2023 00:34,200183,"Battersea Park Road, Nine Elms",08/01/2023 00:42,300073,"Prince of Wales Drive, Battersea Park",17447,CLASSIC,7m 36s,456076
132825306,08/01/2023 00:34,200004,"Lightermans Road, Millwall",08/01/2023 01:02,200004,"Lightermans Road, Millwall",56355,CLASSIC,28m 12s,1692346
132825307,08/01/2023 00:34,300015,"Binfield Road, Stockwell",08/01/2023 00:38,200173,"Courland Grove, Wandsworth Road",42098,CLASSIC,3m 40s,220857
132825300,08/01/2023 00:34,1028,"William IV Street, Strand",08/01/2023 00:44,2703,"Fire Brigade Pier, Vauxhall",57582,CLASSIC,9m 59s,599363
132825301,08/01/2023 00:34,200110,"Bishop's Bridge Road West, Bayswater",08/01/2023 01:21,1041,"Westbourne Grove, Bayswater",54590,CLASSIC,47m 17s,2837565
132825308,08/01/2023 00:35,200004,"Lightermans Road, Millwall",08/01/2023 01:03,200004,"Lightermans Road, Millwall",60149,PBSC_EBIKE,28m 0s,1680753
132825309,08/01/2023 00:35,2662,"Butler Place, Westminster",08/01/2023 00:52,200119,"Dorothy Road, Clapham Junction",55362,CLASSIC,17m 15s,1035666
132825310,08/01/2023 00:35,990,"Cotton Garden Estate, Kennington",08/01/2023 02:38,300050,"Walworth Square, Walworth",56013,CLASSIC,2h 2m 33s,7353983
132825311,08/01/2023 00:35,300079,"London Street, Paddington",08/01/2023 00:52,300084,"Sirdar Road, Avondale",55607,CLASSIC,16m 29s,989224
132825312,08/01/2023 00:37,3458,"Waterloo Place, St. James's",08/01/2023 01:13,1071,"Tower Gardens , Tower",42081,CLASSIC,36m 11s,2171286
132825313,08/01/2023 00:37,1067,"St. James's Square, St. James's",08/01/2023 00:44,1219,"Lower Marsh, Waterloo",58631,CLASSIC,6m 44s,404137
132825314,08/01/2023 00:37,3458,"Waterloo Place, St. James's",08/01/2023 01:13,1071,"Tower Gardens , Tower",40129,CLASSIC,36m 0s,2160942
132825315,08/01/2023 00:37,3458,"Waterloo Place, St. James's",08/01/2023 01:13,1071,"Tower Gardens , Tower",57917,CLASSIC,35m 58s,2158828
132825316,08/01/2023 00:38,200133,"South Lambeth Road, Vauxhall",08/01/2023 00:44,300225,"Normandy Road, Stockwell",50322,CLASSIC,6m 37s,397162
132825317,08/01/2023 00:39,300091,"Hortensia Road, West Brompton",08/01/2023 02:20,1106,"Rampayne Street, Pimlico",58970,CLASSIC,1h 40m 43s,6043721
132825318,08/01/2023 00:39,995,"Little Argyll Street, West End",08/01/2023 00:52,1108,"North Wharf Road, Paddington",55219,CLASSIC,13m 7s,787436
132825319,08/01/2023 00:40,1062,"Braham Street, Aldgate",08/01/2023 00:47,200021,"Hermitage Court, Wapping",24299,CLASSIC,6m 44s,404484
132825320,08/01/2023 00:40,991,"Crosswall, Tower",08/01/2023 00:54,200002,"Jubilee Street, Stepney",58237,CLASSIC,14m 19s,859422
132825321,08/01/2023 00:41,1072,"Waterloo Station 3, Waterloo",08/01/2023 00:51,3481,"Rodney Road , Walworth",52088,CLASSIC,9m 28s,568214
132825322,08/01/2023 00:41,2696,"Waterloo Station 1, Waterloo",08/01/2023 00:59,979,"Wenlock Road , Hoxton",58893,CLASSIC,17m 56s,1076529
132825323,08/01/2023 00:42,300229,"Sidney Road, Stockwell",08/01/2023 00:49,300063,"Burgess Park Albany Road, Walworth",60372,PBSC_EBIKE,7m 18s,438931
132825324,08/01/2023 00:42,300073,"Prince of Wales Drive, Battersea Park",08/01/2023 00:53,300046,"Alma Road, Wandsworth",60292,PBSC_EBIKE,10m 26s,626845
132825325,08/01/2023 00:43,1050,"Park Road (Baker Street), The Regent's Park",08/01/2023 00:52,1130,"Grove End Road, St. John's Wood",22164,CLASSIC,9m 13s,553477
132825326,08/01/2023 00:43,300021,"Podium, Queen Elizabeth Olympic Park",08/01/2023 00:54,200006,"Hewison Street, Old Ford",52777,CLASSIC,10m 24s,624626
132825327,08/01/2023 00:44,200096,"Green Park Station, Mayfair",08/01/2023 05:01,1133,"Baylis Road, Waterloo",57056,CLASSIC,4h 16m 46s,15406499
132825328,08/01/2023 00:44,200096,"Green Park Station, Mayfair",08/01/2023 05:01,1133,"Baylis Road, Waterloo",31018,CLASSIC,4h 16m 38s,15398108
132825329,08/01/2023 00:45,200004,"Lightermans Road, Millwall",08/01/2023 01:03,200004,"Lightermans Road, Millwall",58107,CLASSIC,17m 37s,1057304
132825330,08/01/2023 00:46,22177,"Christian Street, Whitechapel",08/01/2023 00:54,1223,"Buxton Street 1, Shoreditch",50861,CLASSIC,8m 30s,510587
132825331,08/01/2023 00:47,300032,"Victoria & Albert Museum, South Kensington",08/01/2023 01:43,1193,"Kensington Gore, Knightsbridge",54232,CLASSIC,55m 46s,3346545
132825332,08/01/2023 00:47,300032,"Victoria & Albert Museum, South Kensington",08/01/2023 01:43,1193,"Kensington Gore, Knightsbridge",53345,CLASSIC,55m 45s,3345539
132825333,08/01/2023 00:47,300032,"Victoria & Albert Museum, South Kensington",08/01/2023 01:43,1193,"Kensington Gore, Knightsbridge",35528,CLASSIC,55m 27s,3327150
132825335,08/01/2023 00:48,200134,"Albany Street, The Regent's Park",08/01/2023 00:56,300212,"Birkenhead Street, King's Cross",59179,CLASSIC,8m 26s,506606
132825336,08/01/2023 00:48,300236,"Bevington Road West, North Kensington",08/01/2023 00:53,300057,"Westbourne Park Road, Portobello",55087,CLASSIC,4m 42s,282821
132825334,08/01/2023 00:48,200096,"Green Park Station, Mayfair",08/01/2023 05:01,1133,"Baylis Road, Waterloo",53343,CLASSIC,4h 13m 14s,15194653
132825337,08/01/2023 00:49,300228,"Westferry Circus, Canary Wharf",08/01/2023 01:24,200025,"London Fields, Hackney Central",53365,CLASSIC,34m 57s,2097145
132825338,08/01/2023 00:49,1087,"Belgrave Road, Victoria",08/01/2023 01:23,200147,"Salmon Lane, Limehouse",56650,CLASSIC,33m 37s,2017528
132825339,08/01/2023 00:50,1162,"Dorset Square, Marylebone",08/01/2023 01:01,200122,"Hawley Crescent, Camden Town",59403,CLASSIC,10m 54s,654091
